id,ime,leto,odigrane minute,meti 3 točke,poskusi 3 točke,meti 2 točki,poskusi 2 točki,prosti meti,poskusi prostih metov,skoki v napadu,skoki v obrambi,asistence,ukradene žoge,blokade,izgubljene žoge,osebni prekrški
SAS,San Antonio Spurs,1985,19780,55,202,3643,7000,1961,2571,1127,2470,2316,757,443,1542,2180
PHI,Philadelphia 76ers,1985,19805,59,224,3384,6768,2316,2883,1301,2364,1999,817,534,1575,1971
HOU,Houston Rockets,1985,19830,41,186,3707,7254,1581,2261,1325,2395,2239,683,597,1605,2033
DAL,Dallas Mavericks,1985,19855,152,443,3408,6837,1844,2324,1095,2345,2152,575,335,1184,1796
MIL,Milwaukee Bucks,1985,19805,89,294,3475,6963,1873,2473,1256,2353,2164,689,486,1382,2239
GSW,Golden State Warriors,1985,19855,112,397,3386,7158,1944,2531,1327,2139,1759,803,284,1460,2136
NJN,New Jersey Nets,1985,19755,52,224,3594,7221,1631,2237,1233,2325,2163,772,415,1355,2011
UTA,Utah Jazz,1985,19755,103,307,3375,6995,1878,2434,1081,2554,2143,712,697,1575,1961
CHI,Chicago Bulls,1985,19805,29,161,3424,6748,1981,2526,1074,2366,1992,622,468,1463,2071
CLE,Cleveland Cavaliers,1985,19780,96,335,3374,7029,1867,2491,1203,2445,2096,622,472,1387,2173
IND,Indiana Pacers,1985,19780,30,155,3459,7169,1871,2516,1198,2623,1945,625,366,1622,2237
PHO,Phoenix Suns,1985,19805,87,307,3420,6837,1757,2280,1026,2425,2335,727,349,1583,2034
LAC,Los Angeles Clippers,1985,19730,56,188,3471,6931,1674,2208,1159,2438,1934,534,497,1587,1840
ATL,Atlanta Hawks,1985,19855,73,235,3371,6884,1782,2371,1161,2345,2009,665,541,1475,2047
WSB,Washington Bullets,1985,19855,109,398,3425,6985,1478,1989,1012,2395,2088,709,393,1282,1869
NYK,New York Knicks,1985,19830,51,198,3384,6903,1706,2350,1116,2102,1999,754,267,1458,2398
SEA,Seattle SuperSonics,1985,19705,45,185,3232,6725,1777,2305,1019,2287,2185,649,343,1493,1974
LAL,Los Angeles Lakers,1986,19830,138,409,3696,6934,1812,2329,1101,2555,2433,693,419,1467,2031
DAL,Dallas Mavericks,1986,19805,141,446,3490,6808,2050,2643,1059,2454,2108,605,369,1289,1733
POR,Portland Trail Blazers,1986,19855,74,275,3536,7006,2142,2799,1153,2316,2180,859,356,1529,2205
DEN,Denver Nuggets,1986,19755,71,305,3634,7563,1929,2416,1223,2317,2140,826,421,1336,2164
MIL,Milwaukee Bucks,1986,19805,125,382,3476,6928,2063,2701,1189,2420,2158,805,460,1369,2210
HOU,Houston Rockets,1986,19755,85,310,3674,7361,1776,2434,1316,2434,2318,745,551,1374,1991
DET,Detroit Pistons,1986,19780,55,182,3699,7568,1800,2300,1276,2461,2319,738,340,1343,2101
BOS,Boston Celtics,1986,19855,138,393,3580,6919,1785,2248,1054,2753,2387,641,511,1360,1756
GSW,Golden State Warriors,1986,19780,87,278,3563,7289,1912,2517,1271,2344,2018,751,355,1400,2032
SAS,San Antonio Spurs,1986,19805,46,196,3550,6908,1882,2523,1069,2413,2260,800,390,1624,2115
PHI,Philadelphia 76ers,1986,19905,51,224,3384,6834,2130,2810,1326,2378,2017,862,490,1595,1798
PHO,Phoenix Suns,1986,19805,38,183,3480,6810,1949,2683,1034,2449,2272,773,379,1763,2260
CHI,Chicago Bulls,1986,19855,88,317,3388,6910,1922,2499,1280,2278,2006,609,400,1436,2166
NJN,New Jersey Nets,1986,19805,43,214,3505,7087,1810,2396,1183,2483,2128,749,345,1575,2129
SAC,Sacramento Kings,1986,19780,30,134,3508,7086,1818,2338,1135,2377,2304,602,388,1533,2134
LAC,Los Angeles Clippers,1986,19755,64,229,3324,6936,2067,2683,1159,2258,1968,694,501,1504,1931
ATL,Atlanta Hawks,1986,19805,33,166,3414,6863,1979,2704,1249,2405,2025,736,434,1483,2170
UTA,Utah Jazz,1986,19780,35,169,3418,6914,1930,2694,1068,2479,2199,717,666,1518,2038
CLE,Cleveland Cavaliers,1986,19780,132,391,3346,6848,1748,2325,1086,2455,2064,627,436,1411,2267
SEA,Seattle SuperSonics,1986,19930,79,300,3256,6759,1815,2331,1145,2256,1977,745,296,1435,2168
IND,Indiana Pacers,1986,19755,23,143,3418,7007,1614,2183,1138,2613,2159,659,381,1515,2135
WSB,Washington Bullets,1986,19855,116,408,3195,6740,1704,2286,1066,2432,1748,626,716,1346,1796
NYK,New York Knicks,1986,19805,82,239,3157,6795,1534,2237,1081,2170,1877,714,308,1438,2213
POR,Portland Trail Blazers,1987,19805,98,339,3552,6910,2269,2928,1180,2413,2359,767,387,1546,2082
LAL,Los Angeles Lakers,1987,19730,164,447,3576,6798,2012,2550,1127,2515,2428,728,482,1358,1853
DEN,Denver Nuggets,1987,19780,106,391,3638,7560,1975,2568,1294,2368,2317,754,421,1216,2184
DAL,Dallas Mavericks,1987,19880,231,653,3363,6720,2148,2717,1219,2494,2017,688,424,1205,1873
SEA,Seattle SuperSonics,1987,19855,191,571,3402,6880,1948,2571,1373,2395,2184,705,450,1509,2224
BOS,Boston Celtics,1987,19805,207,565,3438,6486,1740,2153,933,2585,2421,561,526,1300,1710
GSW,Golden State Warriors,1987,19905,116,364,3435,7048,1970,2526,1193,2351,2083,715,321,1354,2138
DET,Detroit Pistons,1987,19830,39,169,3505,7068,1991,2602,1245,2649,2021,643,436,1417,2078
PHO,Phoenix Suns,1987,19855,61,252,3514,6938,1900,2499,1113,2366,2354,703,397,1497,2047
SAC,Sacramento Kings,1987,19780,77,307,3445,7106,1974,2479,1282,2441,2185,513,397,1403,2007
MIL,Milwaukee Bucks,1987,19780,185,572,3272,6710,1953,2549,1119,2322,2044,845,393,1260,2180
ATL,Atlanta Hawks,1987,19730,135,425,3300,6716,2019,2661,1350,2478,2077,700,511,1279,2152
NJN,New Jersey Nets,1987,19855,145,449,3229,6634,2000,2607,1169,2409,1991,643,397,1617,2353
SAS,San Antonio Spurs,1987,19805,117,403,3415,7053,1701,2292,1285,2347,2220,786,325,1406,1930
UTA,Utah Jazz,1987,19755,139,448,3346,7066,1735,2389,1194,2456,2240,835,628,1403,2040
HOU,Houston Rockets,1987,19780,89,324,3376,6938,1746,2355,1190,2481,2227,654,555,1384,1973
PHI,Philadelphia 76ers,1987,19880,88,340,3247,6452,1971,2617,1178,2327,1943,768,540,1519,1774
IND,Indiana Pacers,1987,19930,94,316,3360,7008,1696,2170,1132,2464,2170,697,311,1276,2097
WSB,Washington Bullets,1987,19705,43,218,3313,7179,1935,2531,1305,2315,1750,755,685,1301,1775
CHI,Chicago Bulls,1987,19830,78,299,3304,6856,1754,2254,1248,2400,2143,677,438,1257,1922
LAC,Los Angeles Clippers,1987,19780,78,348,3233,6984,1866,2515,1231,2137,1971,751,432,1493,2004
CLE,Cleveland Cavaliers,1987,19755,81,338,3268,6784,1779,2554,1257,2420,1912,672,559,1619,1853
NYK,New York Knicks,1987,19780,125,375,3204,6648,1725,2362,1108,2162,1941,704,396,1420,2028
DEN,Denver Nuggets,1988,19780,192,562,3578,7399,1841,2289,1163,2442,2300,832,401,1186,1982
POR,Portland Trail Blazers,1988,19730,117,380,3544,7080,2079,2701,1251,2491,2307,726,347,1351,2091
BOS,Boston Celtics,1988,19780,271,705,3328,6200,1846,2300,930,2440,2448,620,415,1304,1804
